url,Name,Email,Website,Phone_no,Address,Contact_person,Details
http://www.virginiaequestrian.com/main.cfm?action=greenpages&sub=view&ID=10593,McQuillan Equestrian at Kilfinnan Stables,kilfinnanstables(at)gmail.com,,,"Middleburg,VA 20118",No contact Person,"Situated on 300 acres of pastoral land just ten minutes from Great Meadows and rte.66, McQuillan Equestrian has everything you and your equine partner need to thrive, no matter your goals. Owned and operated by 5-star event rider and professional foxhunter Sean McQuillan and Equine Physiotherapist Kendra McQuillan, McQuillan Equestrian prides itself on a positive, holistic approach, treating each horse as the unique individuals they are.

Boasting a large outdoor arena with watering system and lighting, cross-country course, countless trails, and large windowed stalls with ample turnout, we provide horses the space to thrive both physically and mentally in a low key, positive environment. 

 With over 30 years of experience, 23 of those as one of Jacqueline Mars's lead trainers and riders, Sean has helped countless equine partnerships reach their goals through his unwavering dedication to the art of horsemanship. With a blend of sports psychology and connective exercises between horse and rider, our positive approach can help you on your journey, whether that's to the highest of levels or to merely enjoy a relaxing trail ride with your equine partner after a long day at work.

McQuillan Equestrian offers a comprehensive suite of services tailored to meet the diverse needs of sport horse enthusiasts. From personalized training programs and enlightening lessons, we are your partner in realizing your equestrian aspirations."
http://www.virginiaequestrian.com/main.cfm?action=greenpages&sub=view&ID=11998,Country Classics,cdrigdencountryclassics(at)gmail.com,http://www.englishcountryclassics.comPhone:  5406873686,5406873686,"[MAP]21 East Washington StreetMiddleburg,",Country Classics,"Country Classics is having their annual Anniversary Sale! Enjoy 50% OFF select Men's shirts, jackets, blazers, trousers, waistcoats, and coats! 50% off ladies' shirts, trousers, waistcoats, and jackets! Get the hunt country look. Perfect style for hunt breakfasts and the Middleburg races. 

The sale only happens once a year so come in today!"
http://www.virginiaequestrian.com/main.cfm?action=greenpages&sub=view&ID=14348,Old Hundred Stables,victoria(at)rvarealtor.com,Phone:  8047745583,8047745583,"Midlothian,VA 23114",No contact Person,"Small Hobby Farm catering to a few boarders, Indoor Riding Arena, Wedding Events, Range Free eggs and more."
http://www.virginiaequestrian.com/main.cfm?action=greenpages&sub=view&ID=11704,Sandstone Farm L.L.C.,sandstonefarm(at)aol.com,http://www.sandstonefarm.comPhone:  540-837-1261,540-837-1261,"[MAP]3805 Millwood RdMillwood,",Luci Strange / Sandstonefarm.com,"Sandstone farm is a full service training and show facility on 36 acres of beautiful rolling country side near the Shenandoah River. Conveniently located 1/2 mile off Rt 50 in Eastern Clarke Co. in the Blue Ridge Hunt Country.  We offer instruction in Hunter, Jumpers, fox hunting and Dressage.  A fine selection of Welsh cross ponies and selected horses, are for sale... Call for an appointment 540-837-1261"
http://www.virginiaequestrian.com/main.cfm?action=greenpages&sub=view&ID=10083,Sandstone Farm L.L.C.,sandstonefarm(at)aol.com,http://annual eventsPhone:  540-837-1261,eventsPhone540-837-1261,"[MAP]3805 Millwood Rd P.O.Box 365Millwood,",Luci Strange,"Hunter Horse shows: 
Pony hunters  
JUMPER SHOWS $$$$
COMBINED TEST check sandstonefarm.com
call 540-837-1261"
http://www.virginiaequestrian.com/main.cfm?action=greenpages&sub=view&ID=12137,Spring Valley Farm,info(at)spgvalleyfarm.com,http://www.spgvalleyfarm.comPhone:  540-309-6884,540-309-6884,"[MAP]1190 Horseshoe Bend RdMoneta,",Chad Simmons,"Spring Valley Farm offers multiple horseman needs. We train to ride and drive, boarding, breeding, bed and breakfast, cabin rentals, sell/trade of horses and mini horses and donkeys. We have all disciplines of horses on our farm. Spring Valley also sells project horses. Please feel free to contact us or visit our website. It is undercontruction but still has info on it spgvalleyfarm.com"
http://www.virginiaequestrian.com/main.cfm?action=greenpages&sub=view&ID=12642,Horsin' Around Camp!,crosskeysequinetherapy(at)gmail.com,http://www.crosskeysequinetherapy.orgPhone:  540-607-6910,540-607-6910,"[MAP]6711 Stoney Lick RdMt Crawford,",Alicia Burns,"Horsin' Around is a summer program for kids to come learn about all aspects of horse and pony care. They have hands-on activities with the horses, and learn about nutrition, horse care, grooming, and exercise through games and crafts. Once the relationship with the horses is established, they get to learn basic riding skills. Camps run from 8:30am-11:30am. The camp dates for 2013 are June 10-13, June 24-27, July 8-11, and July 29-Aug 1.

$175/week if registered before May 1st!
$200/week after May 1st

Spaces fill quickly so register early!

Horsin' Around Pony Camp is a program by Cross Keys Equine Therapy, a non-profit that offers equine assisted therapy services to children, adults, and families. A portion of the camp fee goes to support the horses and clients in the therapy program.

(540) 607-6910

crosskeysequinetherapy@gmail.com

www.crosskeysequinetherapy.org"
http://www.virginiaequestrian.com/main.cfm?action=greenpages&sub=view&ID=9775,"Hollow Oak Farm, Inc.",lynniefnp(at)msn.com,http://www.hollowoakfarm.comPhone:  703-594-3263,703-594-3263,"[MAP]12240 Aden RoadNokesville,",Lynn Sadler,"New Riding Facility in Nokesville, VA. We offer boarding, lessons, training, and horse shows. Immediate availability. Indoor arena coming soon. Call for pricing. Adjacent to Nokesville Park & Equestrian Ring. Lots of trails."
http://www.virginiaequestrian.com/main.cfm?action=greenpages&sub=view&ID=14332,"Cockade Stables, LLC",nancybosher(at)gmail.com,Phone:  8048622588,8048622588,"[MAP]9208 Fort Dushane Road  Petersburg,",Nancy Bosher,"Cockade Stables offers a quality horse boarding experience with services and facilities that will meet all your needs.  We offer a fully covered indoor riding arena, full and partial boarding options, quality pastures and personal feeding and care for your equine twice a day, every day!
And Boarding is not our only passion.  Through Khamrada's Hope we serve families through our experiential education programs, bringing them hope, healing, and balance! Our services are not limited and can all be viewed when you visit our amazing website at Cockadestables.com or call us to schedule a visit and see what we can offer you personally!"
http://www.virginiaequestrian.com/main.cfm?action=greenpages&sub=view&ID=12462,The Mary Schwentker Cross Country Clinic,spiatt(at)cfcfarmhome.com,http://cfcfarmhome.net/webdocs/DocView.aspx?wdID=259&locID=0Phone:  540-439-3254,540-439-3254,"[MAP]27510 Mine Run Rd.Rhoadesville,",Sharon Piatt,"On September 22, CFC Farm & Home Center and Pace-Maker Horse Feeds will again sponsor the Mary Schwentker Cross Country Clinic at Win Green Farm in Rhoadesville, Virginia. Ms. Schwentker is an accomplished international 3-day event competitor and trainer. Win Green Farm, located at 27510 Mine Run Rd. in Rhoadesville (http://www.wingreenxc.com/) offers Eventing features such as water jumps with multiple approaches, banks and ditches, sunken road, Weldon's Wall, skinnies, and more. Also included is a Trakenher designed to challenge the rider, but not trouble the horse, plus confidence building and straight-forward log jumps. 

Registration is $85, and includes rider, horse, and one auditor. Individual auditor registration is $10. Lunch is included in registration fees. 

Registration forms can be picked up at any CFC Farm and Home Center, or online at www.cfcfarmhome.com. Pre-registration is required. The registration deadline is September 14, 2012. Call Sharon Piatt for more information at 540-439-3254 or email at spiatt@cfcfarmhome.com."
http://www.virginiaequestrian.com/main.cfm?action=greenpages&sub=view&ID=12527,Horses In Service,horses.in.service(at)gmail.com,http://www.horsesinservice.org,,"[MAP]6301 Hines RoadRichmond,",Niki LeHew,"Horses In Service, a non-profit organization, which provides therapeutic riding lessons for people with disabilities.  H.I.S mission is to encourage people with disabilities, their families and friends to achieve an enriched quality of life through physical, emotional, social, spiritual and educational development using the dynamics of therapeutic horseback riding.  To educate staff, horsemen and the community in natural horsemanship and therapeutic riding, through publications, newsletters and training sessions.  We have annual fundraisers such as spaghetti dinners, trail rides.   H.I.S has volunteer opportunities such as side walkers, horse leaders, barn help and instructors."
http://www.virginiaequestrian.com/main.cfm?action=greenpages&sub=view&ID=13637,Majestic Meadow Stables and Balanced Venture Horsemanship,mms.bonnie(at)yahoo.com,http://www.majesticmeadowstables.comPhone:  540-219-6532,540-219-6532,"[MAP]23114 Maddens Tavern RoadStevensburg,",Bonnie Williams,"Majestic Meadow Stables is a 50Ac. horse farm in the heart of Culpeper County.  We offer 2 arena's, round pen, stall and field board opportunities, trails, play yard and much more.  We are a Natural Horsemanship facility so all horses are treated as individuals, respectfully and with your wishes and desires in mind.  We offer a wide variety of grains and feed options.  Many services are free of charge.  Check out our website then call for an appointment.  Our boarders are long term, happy and so are their horses."
http://www.virginiaequestrian.com/main.cfm?action=greenpages&sub=view&ID=11427,Summerplace Farm,info(at)summerplacefarm.com,http://www.Summerplacefarm.com,,"The Plains,VA 20198",No contact Person,"2011 Horse shows start April 2, 2011.  Come spend the say at Summerplace"
http://www.virginiaequestrian.com/main.cfm?action=greenpages&sub=view&ID=10617,PicturesqueFarm,kristy(at)picturesquefarm.com,http://www.picturesquefarm.comPhone:  540-349-2026,540-349-2026,"[MAP]7769 Piccadilly DriveWarrenton,",Kristy Willwerth,"Picturesque Farm is situated on 36 acres located on the south side of Warrenton, Va.  The 28 stall show barn has a heated/air conditioned lounge and bathroom, two double wash stalls with hot and cold water, and two large tack rooms.  There is a huge 200' x 160' all weather sand outdoor arena with a new course of jumps, a 140' x 75' indoor arena. The horses & ponies are all privately owned show horses.  The riding stable specializes in hunters with strong basics in groundwork & equitation as well as cross country schooling, trail riding and foxhunting. In addition to teaching lessons, we show extensively in rated and local VHSA shows, train/reschool, buy, sell and have a consignment program as well.  We are members of the VHSA and have 9 hunter schooling shows each summer.  There is an annex to Picturesque Farm that is an additional 200 acres which houses our stallion, the nursery and over 110 acres of private trails. Please call the office at 540-349-2026 or feel free to email us at: kristy@picturesquefarm.com"
http://www.virginiaequestrian.com/main.cfm?action=greenpages&sub=view&ID=11766,Hermitage Hill Farm & Stables,info(at)hermitagehillfarm.com,http://www.hermitagtehillfarm.comPhone:  540 490 2609,5404902609,"[MAP]81 Livery LaneWaynesboro,",craig nargi,"Hermitage Hill is a beautiful farm situated in the foothills of the Blue Ridge. .
We offer an exclusive reception facility and premier horse boarding operation. Our reception room is climate controlled and measure at 4,000 sq feet. Beautiful views abound and we offer a patio area complete with a gas fireplace for chllier months. 
For those looking to board, our facility offers 2 riding arenas, one with lights, round pen, hotwalker, hot and cold washbays, skydeck for viewing, wifi and a lounge area. 
Visit us online to learn more about this exclusive facility. Http://www.hermitagehillfarm.com"
